Country,Participants
United States,20949
India,9061
Germany,5866
United Kingdom,5737
Canada,3395
France,2391
Brazil,1948
Poland,1922
Australia,1903
Netherlands,1852
Russian Federation,1694
Spain,1604
Italy,1576
Sweden,1274
Switzerland,978
Israel,952
Turkey,949
Pakistan,923
Ukraine,868
Austria,839
Czech Republic,764
Romania,760
Iran,738
Belgium,727
China,664
Bulgaria,659
Mexico,642
South Africa,627
Denmark,617
Bangladesh,605
Norway,574
Greece,556
Argentina,553
Finland,546
Portugal,525
New Zealand,524
Nigeria,522
Hungary,513
Indonesia,507
Ireland,501
Serbia,402
Japan,391
Philippines,381
Sri Lanka,372
Egypt,323
Colombia,313
Singapore,303
Malaysia,299
Slovenia,298
Croatia,260
Slovakia,260
Kenya,249
Lithuania,248
Nepal,237
Viet Nam,231
Thailand,214
Chile,206
Belarus,202
Estonia,195
Hong Kong (S.A.R.),188
Taiwan,187
South Korea,160
United Arab Emirates,158
Morocco,155
Latvia,136
Other Country (Not Listed Above),136
Algeria,134
nan,132
Peru,130
Tunisia,130
Lebanon,120
Uruguay,111
Bosnia and Herzegovina,108
Saudi Arabia,98
Dominican Republic,97
"Venezuela, Bolivarian Republic of...",88
Armenia,86
Albania,86
Ghana,84
Costa Rica,84
Ecuador,82
Georgia,80
Uganda,72
Guatemala,67
El Salvador,67
Malta,65
Jordan,65
Cyprus,64
Kazakhstan,64
Luxembourg,61
The former Yugoslav Republic of Macedonia,54
Ethiopia,52
Paraguay,52
Myanmar,52
Cameroon,51
Azerbaijan,49
Iceland,49
Afghanistan,44
Republic of Moldova,43
Sudan,42
Zimbabwe,39
Iraq,39
Uzbekistan,39
Republic of Korea,39
Bolivia,36
C̫te d'Ivoire,34
Panama,33
United Republic of Tanzania,32
Nicaragua,30
Cambodia,30
Cuba,30
Syrian Arab Republic,29
Jamaica,28
Honduras,27
Mauritius,26
Senegal,21
Kuwait,20
Yemen,19
Trinidad and Tobago,19
Kyrgyzstan,19
Bahrain,18
Mongolia,17
Montenegro,17
Madagascar,15
Somalia,13
Qatar,13
Maldives,13
Rwanda,12
Zambia,12
Oman,11
Libyan Arab Jamahiriya,10
Antigua and Barbuda,9
Swaziland,8
Andorra,7
Turkmenistan,7
Democratic Republic of the Congo,7
Tajikistan,7
Mauritania,7
"Congo, Republic of the...",7
Mozambique,7
Fiji,5
Haiti,5
Benin,5
Namibia,5
Angola,5
Botswana,5
Monaco,4
Togo,4
Burkina Faso,4
Cape Verde,3
Burundi,3
Belize,3
Mali,3
Guyana,3
Liechtenstein,3
Lao People's Democratic Republic,3
Guinea,3
Democratic People's Republic of Korea,3
Barbados,3
Lesotho,3
Bahamas,3
Sierra Leone,2
Gabon,2
Djibouti,2
Seychelles,2
Malawi,2
Liberia,2
Bhutan,2
San Marino,2
Brunei Darussalam,1
North Korea,1
Timor-Leste,1
Tonga,1
Niger,1
Dominica,1
Papua New Guinea,1
Saint Kitts and Nevis,1
Saint Vincent and the Grenadines,1
Sao Tome and Principe,1
Chad,1
