,Country,Participants
0,United States,20949
1,India,9061
2,Germany,5866
3,United Kingdom,5737
4,Canada,3395
5,France,2391
6,Brazil,1948
7,Poland,1922
8,Australia,1903
9,Netherlands,1852
10,Russian Federation,1694
11,Spain,1604
12,Italy,1576
13,Sweden,1274
14,Switzerland,978
15,Israel,952
16,Turkey,949
17,Pakistan,923
18,Ukraine,868
19,Austria,839
20,Czech Republic,764
21,Romania,760
22,Iran,738
23,Belgium,727
24,China,664
25,Bulgaria,659
26,Mexico,642
27,South Africa,627
28,Denmark,617
29,Bangladesh,605
30,Norway,574
31,Greece,556
32,Argentina,553
33,Finland,546
34,Portugal,525
35,New Zealand,524
36,Nigeria,522
37,Hungary,513
38,Indonesia,507
39,Ireland,501
40,Serbia,402
41,Japan,391
42,Philippines,381
43,Sri Lanka,372
44,Egypt,323
45,Colombia,313
46,Singapore,303
47,Malaysia,299
48,Slovenia,298
49,Croatia,260
50,Slovakia,260
51,Kenya,249
52,Lithuania,248
53,Nepal,237
54,Viet Nam,231
55,Thailand,214
56,Chile,206
57,Belarus,202
58,Estonia,195
59,Hong Kong (S.A.R.),188
60,Taiwan,187
61,South Korea,160
62,United Arab Emirates,158
63,Morocco,155
64,Latvia,136
65,Other Country (Not Listed Above),136
66,Algeria,134
67,nan,132
68,Peru,130
69,Tunisia,130
70,Lebanon,120
71,Uruguay,111
72,Bosnia and Herzegovina,108
73,Saudi Arabia,98
74,Dominican Republic,97
75,"Venezuela, Bolivarian Republic of...",88
76,Armenia,86
77,Albania,86
78,Ghana,84
79,Costa Rica,84
80,Ecuador,82
81,Georgia,80
82,Uganda,72
83,Guatemala,67
84,El Salvador,67
85,Malta,65
86,Jordan,65
87,Cyprus,64
88,Kazakhstan,64
89,Luxembourg,61
90,The former Yugoslav Republic of Macedonia,54
91,Ethiopia,52
92,Paraguay,52
93,Myanmar,52
94,Cameroon,51
95,Azerbaijan,49
96,Iceland,49
97,Afghanistan,44
98,Republic of Moldova,43
99,Sudan,42
100,Zimbabwe,39
101,Iraq,39
102,Uzbekistan,39
103,Republic of Korea,39
104,Bolivia,36
105,C̫te d'Ivoire,34
106,Panama,33
107,United Republic of Tanzania,32
108,Nicaragua,30
109,Cambodia,30
110,Cuba,30
111,Syrian Arab Republic,29
112,Jamaica,28
113,Honduras,27
114,Mauritius,26
115,Senegal,21
116,Kuwait,20
117,Yemen,19
118,Trinidad and Tobago,19
119,Kyrgyzstan,19
120,Bahrain,18
121,Mongolia,17
122,Montenegro,17
123,Madagascar,15
124,Somalia,13
125,Qatar,13
126,Maldives,13
127,Rwanda,12
128,Zambia,12
129,Oman,11
130,Libyan Arab Jamahiriya,10
131,Antigua and Barbuda,9
132,Swaziland,8
133,Andorra,7
134,Turkmenistan,7
135,Democratic Republic of the Congo,7
136,Tajikistan,7
137,Mauritania,7
138,"Congo, Republic of the...",7
139,Mozambique,7
140,Fiji,5
141,Haiti,5
142,Benin,5
143,Namibia,5
144,Angola,5
145,Botswana,5
146,Monaco,4
147,Togo,4
148,Burkina Faso,4
149,Cape Verde,3
150,Burundi,3
151,Belize,3
152,Mali,3
153,Guyana,3
154,Liechtenstein,3
155,Lao People's Democratic Republic,3
156,Guinea,3
157,Democratic People's Republic of Korea,3
158,Barbados,3
159,Lesotho,3
160,Bahamas,3
161,Sierra Leone,2
162,Gabon,2
163,Djibouti,2
164,Seychelles,2
165,Malawi,2
166,Liberia,2
167,Bhutan,2
168,San Marino,2
169,Brunei Darussalam,1
170,North Korea,1
171,Timor-Leste,1
172,Tonga,1
173,Niger,1
174,Dominica,1
175,Papua New Guinea,1
176,Saint Kitts and Nevis,1
177,Saint Vincent and the Grenadines,1
178,Sao Tome and Principe,1
179,Chad,1
